"","x"
"322","GNG4"
"323","GNG4"
"324","GNG7"
"325","GNPDA1"
"326","GOLGA4"
"327","GOLGA8A"
"328","GOLGB1"
"329","GPM6A"
"330","GPR158"
"331","GPRASP1"
"332","GPSM1"
"333","GREM1"
"334","GREM1"
"335","GREM1"
"336","GREM2"
"337","GRIA4"
"338","GRPEL2"
"339","GSE1"
"340","GSN"
"341","GTF3C1"
"342","GYG1"
"343","HABP4"
"344","HACD3"
"345","HADH"
"346","HAX1"
"347","HCFC2"
"348","HDAC9"
"349","HECTD1"
"350","HECTD4"
"351","HERPUD1"
"352","HIVEP2"
"353","HLF"
"354","HLTF"
"355","HMGCLL1"
"356","HNRNPC"
"357","HOOK1"
"358","HOPX"
"359","HPS4"
"360","HS6ST1"
"361","HSP90AA1"
"362","HSP90AB1"
"363","HSPA13"
"364","HSPA1A"
"365","HSPA1A"
"366","HSPA1A"
"367","HSPA1A"
"368","HSPA1A"
"369","HSPA1B"
"370","HSPA1B"
"371","HSPA1B"
"372","HSPA1B"
"373","HSPA1B"
"374","HSPA4L"
"375","HSPA8"
"376","HSPA9"
"377","HSPD1"
"378","HSPH1"
"379","HUWE1"
"380","IAPP"
"381","ID1"
"382","ID4"
"383","IER3"
"384","IER3"
"385","IER3"
"386","IER3"
"387","IER3"
"388","IER3"
"389","IER3"
"390","IGBP1"
"391","IGF1R"
"392","IGSF1"
"393","IGSF11"
"394","IL17RB"
"395","IL6R"
"396","ILF3-DT"
"397","INA"
"398","ING2"
"399","INPP5F"
"400","INS"
"401","INSIG1"
"402","INSM1"
"403","IPO7"
"404","IQSEC1"
"405","IRF2BP2"
"406","IRS2"
"407","ISCU"
"408","ISOC1"
"409","ITPR3"
"410","JAZF1"
"411","JKAMP"
"412","JUND"
"413","KAT2B"
"414","KAT6B"
"415","KAT6B"
"416","KATNAL1"
"417","KCMF1"
"418","KCNG3"
"419","KCNH2"
"420","KCNJ11"
"421","KCNK16"
"422","KCNK17"
"423","KCNK3"
"424","KCNMA1"
"425","KCTD13"
"426","KDM3A"
"427","KDM7A"
"428","KIAA2026"
"429","KIDINS220"
"430","KIF13A"
"431","KIF1A"
"432","KIF21A"
"433","KIF3A"
"434","KIF3B"
"435","KIF5B"
"436","KIF5C"
"437","KIF5C"
"438","KLF10"
"439","KLF13"
"440","KLF13"
"441","KLHDC10"
"442","KLHDC8A"
"443","KLHL12"
"444","KLHL2"
"445","KLHL42"
"446","KMT2C"
"447","KTN1"
"448","LARP1"
"449","LDOC1"
"450","LETMD1"
"451","LINC01128"
"452","LMAN1"
"453","LMO2"
"454","LNPK"
"455","LOC154761"
"456","LOC154761"
"457","LONRF2"
"458","LPIN1"
"459","LRPPRC"
"460","LRRTM3"
"461","LYSMD2"
"462","LYST"
"463","MADD"
"464","MAFA"
"465","MAFB"
"466","MAFG"
"467","MAGI2-AS3"
"468","MAN1A2"
"469","MAN1C1"
"470","MAN2A2"
"471","MAP1A"
"472","MAP1B"
"473","MAP1LC3A"
"474","MAP2"
"475","MAP3K2"
"476","MAP6"
"477","MAPRE1"
"478","MAPRE2"
"479","MAPT"
"480","MAPT"
"481","MAPT"
"482","MARK1"
"483","MAST4"
"484","MATR3"
"485","MATR3"
"486","MBD1"
"487","MBP"
"488","MCC"
"489","MCUB"
"490","MDM2"
"491","ME1"
"492","MEG3"
"493","MEGF9"
"494","MEIS2"
"495","METTL5"
"496","MGAT4A"
"497","MIA3"
"498","MIR4458HG"
"499","MIR7-3HG"
"500","MIS18BP1"
"501","MKRN2"
"502","MLXIPL"
"503","MNX1"
"504","MPHOSPH8"
"505","MPP1"
"506","MRPL34"
"507","MRPL49"
"508","MRPS18B"
"509","MRPS18B"
"510","MRPS18B"
"511","MRPS18B"
"512","MRPS18B"
"513","MRPS18B"
"514","MRPS18B"
"515","MSANTD4"
"516","MT1F"
"517","MT1X"
"518","MT2A"
"519","MTERF2"
"520","MTERF4"
"521","MTMR6"
"522","MTRNR2L1"
"523","MTRNR2L2"
"524","MTRNR2L8"
"525","MTSS1"
"526","MTSS2"
"527","MTURN"
"528","MTUS2"
"529","MXI1"
"530","MXRA7"
"531","MYCBP2"
"532","MYH14"
"533","MYO1D"
"534","MYO3A"
"535","MYO5A"
"536","NANOS1"
"537","NAP1L1"
"538","NAP1L2"
"539","NAP1L5"
"540","NAPA"
"541","NAV2"
"542","NBEA"
"543","NCKAP1"
"544","NCOA3"
"545","NCOA4"
"546","NCOR2"
"547","NDFIP1"
"548","NDRG1"
"549","NEBL"
"550","NECTIN3"
"551","NEFM"
"552","NEO1"
"553","NEU1"
"554","NEU1"
"555","NEU1"
"556","NEU1"
"557","NEU1"
"558","NEU1"
"559","NEU1"
"560","NEU1"
"561","NEUROD1"
"562","NEXMIF"
"563","NFASC"
"564","NFE2L1"
"565","NFIC"
"566","NGRN"
"567","NIN"
"568","NISCH"
"569","NKX2-2"
"570","NMNAT2"
"571","NMRK1"
"572","NORAD"
"573","NPR2"
"574","NPTX2"
"575","NR0B1"
"576","NR1D2"
"577","NR3C1"
"578","NRCAM"
"579","NRDC"
"580","NSG1"
"581","NUCKS1"
"582","NUS1"
"583","OCIAD1"
"584","OLA1"
"585","OLFM1"
"586","OLMALINC"
"587","ORC3"
"588","OSBPL8"
"589","OSTM1"
"590","OTULINL"
"591","P2RY1"
"592","PAFAH1B1"
"593","PAIP2"
"594","PALS2"
"595","PAN2"
"596","PAPSS2"
"597","PARVB"
"598","PATL1"
"599","PCDH7"
"600","PCGF5"
"601","PCLO"
"602","PCM1"
"603","PCMT1"
"604","PCSK1"
"605","PDE4DIP"
"606","PDE8B"
"607","PDE8B"
"608","PDX1"
"609","PDZD2"
"610","PDZD8"
"611","PDZRN3"
"612","PEBP1"
"613","PEG3"
"614","PELI1"
"615","PEPD"
"616","PER3"
"617","PERP"
"618","PFKFB2"
"619","PFN2"
"620","PGK1"
"621","PGRMC2"
"622","PHACTR2"
"623","PHC2"
"624","PHF1"
"625","PHF1"
"626","PHF1"
"627","PI4KA"
"628","PIGA"
"629","PIK3C2A"
"630","PIKFYVE"
"631","PIM3"
"632","PIP4P2"
"633","PIPOX"
"634","PIR"
"635","PITHD1"
"636","PJA2"
"637","PKIB"
"638","PKP2"
"639","PLAGL1"
"640","PLCB1"
"641","PLCB4"
"642","PLCL2"
"643","PLCL2"
"644","PLCXD3"
"645","PLEKHA6"
"646","PLOD2"
"647","PNMA1"
"648","PNMA2"
"649","PNMA8A"
"650","PPID"
"651","PPL"
"652","PPM1A"
"653","PPM1E"
"654","PPP1R1A"
"655","PPP1R2"
"656","PPP2CB"
"657","PPT1"
"658","PRDM4"
"659","PREPL"
"660","PRKACB"
"661","PRKAG2"
"662","PRKAR2B"
"663","PRKAR2B"
"664","PRKCH"
"665","PRMT2"
"666","PRNP"
"667","PRPF8"
"668","PRPF8"
"669","PRPS1"
"670","PRRC2B"
"671","PRSS23"
"672","PRUNE2"
"673","PRXL2A"
"674","PSAP"
"675","PSD3"
"676","PSIP1"
"677","PSMB1"
"678","PSMB1"
"679","PSMC6"
"680","PSMD1"
"681","PTAR1"
"682","PTBP3"
"683","PTCH1"
"684","PTEN"
"685","PTEN"
"686","PTGES3"
"687","PTPN1"
"688","PTPN11"
"689","PTPN3"
"690","PTPRJ"
"691","PTPRN"
"692","PURA"
"693","PURB"
"694","RAB11FIP1"
"695","RAB11FIP5"
"696","RAB12"
"697","RAB15"
"698","RAB22A"
"699","RAB29"
"700","RAB39B"
"701","RAB3B"
"702","RAB3GAP1"
"703","RAB3IP"
"704","RAB5A"
"705","RABEP1"
"706","RABGGTB"
"707","RAD17"
"708","RAD17"
"709","RAD50"
"710","RALGPS1"
"711","RANBP2"
"712","RAP1GAP2"
"713","RAPH1"
"714","RASA4"
"715","RASD1"
"716","RASGRF1"
"717","RASGRP1"
"718","RASSF6"
"719","RBBP8"
"720","RBP4"
"721","RCAN2"
"722","RCAN3"
"723","RCBTB2"
"724","RCOR3"
"725","REPIN1"
"726","RERE"
