"","x"
"330","H2AJ"
"331","H2AZ1"
"332","H4C3"
"333","HDGF"
"334","HDLBP"
"335","HES1"
"336","HMGB1"
"337","HMGB2"
"338","HMGCS1"
"339","HNRNPA2B1"
"340","HNRNPAB"
"341","HNRNPF"
"342","HNRNPM"
"343","HSP90AA1"
"344","HSP90AB1"
"345","HSP90B1"
"346","HSPA5"
"347","HSPD1"
"348","HSPH1"
"349","HYOU1"
"350","IBTK"
"351","IER3"
"352","INF2"
"353","ITGA6"
"354","ITGB1"
"355","ITPR3"
"356","KCNE3"
"357","KDELR1"
"358","KDELR3"
"359","KHSRP"
"360","KIAA1522"
"361","KIF1C"
"362","KIF5B"
"363","KLF2"
"364","KLF5"
"365","LAD1"
"366","LAMA3"
"367","LAMB3"
"368","LARP1"
"369","LARP1B"
"370","LASP1"
"371","LDLR"
"372","LFNG"
"373","LIMA1"
"374","LLGL2"
"375","LMAN2"
"376","LMO4"
"377","LPCAT4"
"378","LRRFIP1"
"379","MACROH2A1"
"380","MARCKS"
"381","MCU"
"382","ME1"
"383","MESD"
"384","MGST2"
"385","MIA3"
"386","MICU1"
"387","MIDN"
"388","MISP"
"389","MKI67"
"390","MLEC"
"391","MLPH"
"392","MRPL14"
"393","MRPS35"
"394","MTDH"
"395","MVD"
"396","MVP"
"397","MYDGF"
"398","MYH14"
"399","MYL6"
"400","MYO10"
"401","MYO1A"
"402","MYO5C"
"403","MYOF"
"404","NANS"
"405","NCL"
"406","NCOR1"
"407","NDUFS6"
"408","NFE2L2"
"409","NFIC"
"410","NIBAN2"
"411","NKX6-2"
"412","NMU"
"413","NOP56"
"414","NR2F6"
"415","NUCKS1"
"416","NUSAP1"
"417","OSBPL7"
"418","PABPC1"
"419","PALLD"
"420","PAQR8"
"421","PDIA4"
"422","PDIA6"
"423","PDLIM1"
"424","PEBP1"
"425","PHACTR2"
"426","PHLDA2"
"427","PKP3"
"428","PLEC"
"429","PLEK2"
"430","PLEKHA6"
"431","PLLP"
"432","PLP2"
"433","PLXNA2"
"434","POMP"
"435","PPARG"
"436","PPDPF"
"437","PPFIBP1"
"438","PPIA"
"439","PPM1G"
"440","PRC1"
"441","PRKCD"
"442","PRPF38B"
"443","PSD3"
"444","PSMA4"
"445","PSMA7"
"446","PSMD11"
"447","PSMD7"
"448","PTBP1"
"449","PTGES3"
"450","PTMA"
"451","PTPRF"
"452","PTTG1"
"453","PTTG1IP"
"454","PYCR1"
"455","RAB11FIP1"
"456","RAB2A"
"457","RAB3D"
"458","RALBP1"
"459","RAN"
"460","RASEF"
"461","RBM25"
"462","RBM3"
"463","RETSAT"
"464","RNU4ATAC"
"465","RPL35"
"466","RPL36AL"
"467","RPN1"
"468","RPN2"
"469","RPS24"
"470","RPS8"
"471","RRBP1"
"472","S100A10"
"473","SCD"
"474","SDC1"
"475","SDC4"
"476","SDF2L1"
"477","SEC61A1"
"478","SEC61G"
"479","SEC63"
"480","SEM1"
"481","SEMA3B"
"482","SERBP1"
"483","SERF2"
"484","SERPINB1"
"485","SERPINB5"
"486","SF3B5"
"487","SGSM3"
"488","SH3RF1"
"489","SLC16A1"
"490","SLC39A11"
"491","SLK"
"492","SLTM"
"493","SMC4"
"494","SMIM14"
"495","SNRPB"
"496","SNRPD1"
"497","SNRPF"
"498","SNRPG"
"499","SPINK5"
"500","SPTBN1"
"501","SRRM1"
"502","SRSF1"
"503","SRSF3"
"504","STMN1"
"505","SYK"
"506","SYNGR2"
"507","TACC3"
"508","TALDO1"
"509","TCERG1"
"510","TES"
"511","TFCP2L1"
"512","TIMP1"
"513","TK1"
"514","TKT"
"515","TLCD2"
"516","TLN2"
"517","TM9SF3"
"518","TMED2"
"519","TMED9"
"520","TMPRSS4"
"521","TMSB10"
"522","TOP1"
"523","TOP2A"
"524","TPM3"
"525","TPX2"
"526","TRIM2"
"527","TSPAN15"
"528","TSPO"
"529","TTC39A"
"530","TUBA1B"
"531","TUBA1C"
"532","TUBB"
"533","TUBB4B"
"534","TXNRD1"
"535","U2AF1"
"536","UBE2C"
"537","USH1C"
"538","VASP"
"539","VCP"
"540","VMP1"
"541","VPS35"
"542","WASF2"
"543","YBX1"
"544","YWHAB"
"545","YWHAH"
"546","ZBTB7A"
"547","ALDOC"
"548","ARHGEF2"
"549","ARL14"
"550","BASP1"
"551","C15orf48"
"552","CD164"
"553","CD59"
"554","COL17A1"
"555","CSTA"
"556","CTNNBL1"
"557","DHRS7"
"558","DSG2"
"559","DUOX2"
"560","EHBP1L1"
"561","EPN1"
"562","EPS8L1"
"563","FAM102A"
"564","FCGRT"
"565","FOXA3"
"566","H1-0"
"567","HACD3"
"568","HIGD1A"
"569","IFI6"
"570","IGFBP4"
"571","KCNK1"
"572","KRT20"
"573","LINC01559"
"574","LRP10"
"575","MAL"
"576","MX2"
"577","MXD1"
"578","MYL12A"
"579","MYL12B"
"580","NAPEPLD"
"581","NEAT1"
"582","OAS1"
"583","OCLN"
"584","PCSK7"
"585","PGRMC2"
"586","PKIB"
"587","PLAAT2"
"588","PNPLA2"
"589","POLD4"
"590","PPIF"
"591","PRR15"
"592","PSAPL1"
"593","RDH13"
"594","RHOC"
